paper_id,source_pdf,uploaded_pdf,batch_id,data_id,status,affiliations,raw_first_page_text,ocr_fallback_used,ocr_image_paths,ocr_transcribed_text,error,affiliation_details_json
2021.emnlp-main.101,,,,2021.emnlp-main.101,done,U Mass Amherst | MIT | Thorn,"# MS-MENTIONS: Consistently Annotating Entity Mentions in Materials Science Procedural Text

Tim O’Gorman3∗, Zach Jensen2, Sheshera Mysore1, Rubayyat Mahbub2, Kevin Huang2, Elsa Olivetti2, Andrew McCallum1

1UMass Amherst 2MIT 3Thorn

{smysore,mccallum}.cs.umass.edu

{zjensen,kjhuang,rmahbub,elsao}@mit.edu",false,,,,"[{""raw_affiliation_text"": ""UMass Amherst"", ""institution"": ""U Mass Amherst"", ""country"": null}, {""raw_affiliation_text"": ""MIT"", ""institution"": ""MIT"", ""country"": null}, {""raw_affiliation_text"": ""Thorn"", ""institution"": ""Thorn"", ""country"": null}]"
2021.emnlp-main.102,,,,2021.emnlp-main.102,done,Purdue University,"# Understanding Politics via Contextualized Discourse Processing

Rajkumar Pujari and Dan Goldwasser

Department of Computer Science

Purdue University

{rpujari, dgoldwas}@purdue.edu",false,,,,"[{""raw_affiliation_text"": ""Department of Computer Science Purdue University"", ""institution"": ""Purdue University"", ""country"": null}]"
2021.emnlp-main.106,,,,2021.emnlp-main.106,done,Stanford University | Sunshine Products,"# Focus on what matters: Applying Discourse Coherence Theory to Cross Document Coreference

William Held<sup>1</sup>, Dan Iter<sup>2</sup>, Dan Jurafsky<sup>2</sup>

Sunshine Products

$^{2}$ Department of Computer Science, Stanford University

will@sunshine.com, {daniter,jurafsky}@stanford.edu",false,,,,"[{""raw_affiliation_text"": ""Department of Computer Science, Stanford University"", ""institution"": ""Stanford University"", ""country"": ""null""}, {""raw_affiliation_text"": ""Sunshine Products"", ""institution"": ""Sunshine Products"", ""country"": ""null""}]"
2021.emnlp-main.100,,,,2021.emnlp-main.100,done,"University of Maryland | Dataminr, Inc.","# Evaluating the Evaluation Metrics for Style Transfer: A Case Study in Multilingual Formality Transfer

Eleftheria Briakou, Sweta Agrawal, Joel Tetreault, Marine Carpuat

$^{\text{念}}$ University of Maryland, $^{\text{念}}$ Dataminr, Inc.

ebriakou@cs.umd.edu, sweagraw@cs.umd.edu, jtetreault@dataminr.com, marine@cs.umd.edu",false,,,,"[{""raw_affiliation_text"": ""University of Maryland"", ""institution"": ""University of Maryland"", ""country"": null}, {""raw_affiliation_text"": ""Dataminr, Inc."", ""institution"": ""Dataminr, Inc."", ""country"": null}]"
2021.emnlp-main.107,,,,2021.emnlp-main.107,done,University of Southern California,"# Salience-Aware Event Chain Modeling for Narrative Understanding

Xiyang Zhang, Muhao Chen, and Jonathan May Information Sciences Institute University of Southern California {xiyangzh, muhao, jonmay}@isi.edu",false,,,,"[{""raw_affiliation_text"": ""Information Sciences Institute University of Southern California"", ""institution"": ""University of Southern California"", ""country"": null}]"
2021.emnlp-main.108,,,,2021.emnlp-main.108,done,Bar Ilan University | University of Washington | Allen Institute for Artificial Intelligence,"# Asking It All: Generating Contextualized Questions for any Semantic Role

Valentina Pyatkin*,1 Paul Roit*,1 Julian Michael2 Reut Tsarfaty1,3 Yoav Goldberg1,3 Ido Dagan1

<sup>1</sup>Computer Science Department, Bar Ilan University

$^{2}$ Paul G. Allen School of Computer Science & Engineering, University of Washington $^{3}$ Allen Institute for Artificial Intelligence

{valpyatkin, plroit, yoav.goldberg}@gmail.com

julianjm@cs.washington.edu, reut.tsarfaty@biu.ac.il, dagan@cs.biu.ac.il",false,,,,"[{""raw_affiliation_text"": ""Computer Science Department, Bar Ilan University"", ""institution"": ""Bar Ilan University"", ""country"": null}, {""raw_affiliation_text"": ""Paul G. Allen School of Computer Science & Engineering, University of Washington"", ""institution"": ""University of Washington"", ""country"": null}, {""raw_affiliation_text"": ""Allen Institute for Artificial Intelligence"", ""institution"": ""Allen Institute for Artificial Intelligence"", ""country"": null}]"
2021.emnlp-main.1,,,,2021.emnlp-main.1,done,Seoul National University | Kakao Enterprise,"# AlignNART: Non-autoregressive Neural Machine Translation by Jointly Learning to Estimate Alignment and Translate

Jongyoon Song $^{1,2*}$

Sungwon Kim

Sungroh Yoon $^{1,3\dagger}$

<sup>1</sup>Data Science and AI Laboratory, Seoul National University, South Korea

2Kakao Enterprise, South Korea

$^{3}$ Interdisciplinary Program in Artificial Intelligence, Seoul National University, South Korea

{coms1580, ksw0306, sryoon}@snu.ac.kr",false,,,,"[{""raw_affiliation_text"": ""Data Science and AI Laboratory, Seoul National University, South Korea"", ""institution"": ""Seoul National University"", ""country"": ""South Korea""}, {""raw_affiliation_text"": ""Kakao Enterprise, South Korea"", ""institution"": ""Kakao Enterprise"", ""country"": ""South Korea""}]"
2021.emnlp-main.111,,,,2021.emnlp-main.111,done,University of Amsterdam,"# Stepmothers are mean and academics are pretentious: What do pretrained language models learn about you?

Rochelle Choenni

University of Amsterdam

r.m.v.k.choenni@uva.nl

Ekaterina Shutova

University of Amsterdam

e.shutova@uva.nl

Robert van Rooij

University of Amsterdam

r.a.m.vanrooij@uva.nl",false,,,,"[{""raw_affiliation_text"": ""University of Amsterdam"", ""institution"": ""University of Amsterdam"", ""country"": null}]"
2021.emnlp-main.110,,,,2021.emnlp-main.110,done,Eurecom | Qatar Computing Research Institute,"# RULEBERT: Teaching Soft Rules to Pre-Trained Language Models

Mohammed Saeed† Naser Ahmadi† Preslav Nakov‡ Paolo Papotti†  
†Eurecom, France ‡Qatar Computing Research Institute, HBKU, Qatar  
{ FirstName.LastName }@eurecom.fr, pnakov@hbku.edu.qa",false,,,,"[{""raw_affiliation_text"": ""Eurecom, France"", ""institution"": ""Eurecom"", ""country"": ""France""}, {""raw_affiliation_text"": ""Qatar Computing Research Institute, HBKU, Qatar"", ""institution"": ""Qatar Computing Research Institute"", ""country"": ""Qatar""}]"
2021.emnlp-main.112,,,,2021.emnlp-main.112,done,Sapienza University of Rome,"# ConSeC: Word Sense Disambiguation as Continuous Sense Comprehension

Edoardo Barba and Luigi Procopio and Roberto Navigli

Sapienza NLP Group, Sapienza University of Rome {edoardo.barba, luigi.procopio, roberto.navigli} @uniroma1.it",false,,,,"[{""raw_affiliation_text"": ""Sapienza NLP Group, Sapienza University of Rome"", ""institution"": ""Sapienza University of Rome"", ""country"": null}]"
2021.emnlp-main.113,,,,2021.emnlp-main.113,done,University of Lisbon,"# Shortcutted Commonsense: Data Spuriousness in Deep Learning of Commonsense Reasoning

Ruben Branco and Antonio Branco and João Silva and João Rodrigues  
University of Lisbon

NLX – Natural Language and Speech Group, Department of Informatics

Faculdade de Ciências, Campo Grande, 1749-016 Lisboa, Portugal

{rmbranco,ambranco,jrsilva,jarodrigues}@fc.ul.pt",false,,,,"[{""raw_affiliation_text"": ""University of Lisbon"", ""institution"": ""University of Lisbon"", ""country"": ""Portugal""}]"
2021.emnlp-main.105,,,,2021.emnlp-main.105,done,Vody LLC,"# Narrative Embedding: Re-Contextualization through Attention

Sean Wilner

Vody LLC

sean@vody.com

Daniel Woolridge

Vody LLC

dan@vody.com

Madeleine Glick

Vody LLC

madeleine@vody.com",false,,,,"[{""raw_affiliation_text"": ""Vody LLC"", ""institution"": ""Vody LLC"", ""country"": null}]"
2021.emnlp-main.10,,,,2021.emnlp-main.10,done,University of Chicago,"# Decision-Focused Summarization

Chao-Chun Hsu

University of Chicago

chaochunh@uchicago.edu

Chenhao Tan

University of Chicago

chenhao@uchicago.edu",false,,,,"[{""raw_affiliation_text"": ""University of Chicago"", ""institution"": ""University of Chicago"", ""country"": null}]"
2021.emnlp-main.115,,,,2021.emnlp-main.115,done,Tel-Aviv University | The Allen Institute for AI,"# Achieving Model Robustness through Discrete Adversarial Training

Maor Ivgi

Tel-Aviv University

maorivgi@mail.tau.ac.il

Jonathan Berant

Tel-Aviv University

The Allen Institute for AI

joberant@cs.tau.ac.il",false,,,,"[{""raw_affiliation_text"": ""Tel-Aviv University"", ""institution"": ""Tel-Aviv University"", ""country"": null}, {""raw_affiliation_text"": ""The Allen Institute for AI"", ""institution"": ""The Allen Institute for AI"", ""country"": null}]"
2021.emnlp-main.116,,,,2021.emnlp-main.116,done,Technion – Israel Institute of Technology,"# Debiasing Methods in Natural Language Understanding
Make Bias More Accessible

Michael Mendelson

michael.me@cs.technion.ac.il

Yonatan Belinkov*

belinkov@technion.ac.il

The Henry and Marilyn Taub Faculty of Computer Science Technion – Israel Institute of Technology",false,,,,"[{""raw_affiliation_text"": ""The Henry and Marilyn Taub Faculty of Computer Science Technion – Israel Institute of Technology"", ""institution"": ""Technion – Israel Institute of Technology"", ""country"": ""Israel""}]"
2021.emnlp-main.103,,,,2021.emnlp-main.103,done,University of Texas at Dallas,"# Conundrums in Event Coreference Resolution: Making Sense of the State of the Art

Jing Lu and Vincent Ng  
Human Language Technology Research Institute  
University of Texas at Dallas  
Richardson, TX 75083-0688  
{ljwinnie,vince}@hlt.utdallas.edu",false,,,,"[{""raw_affiliation_text"": ""Human Language Technology Research Institute, University of Texas at Dallas"", ""institution"": ""University of Texas at Dallas"", ""country"": null}]"
2021.emnlp-main.114,,,,2021.emnlp-main.114,done,Technical University of Darmstadt | Trustworthy Human Language Technologies,"# When differential privacy meets NLP: The devil is in the detail

Ivan Habernal

Trustworthy Human Language Technologies

Department of Computer Science

Technical University of Darmstadt

ivan.habernal@tu-darmstadt.de

www.trusthtl.org",false,,,,"[{""raw_affiliation_text"": ""Department of Computer Science, Technical University of Darmstadt"", ""institution"": ""Technical University of Darmstadt"", ""country"": null}, {""raw_affiliation_text"": ""Trustworthy Human Language Technologies"", ""institution"": ""Trustworthy Human Language Technologies"", ""country"": null}]"
2021.emnlp-main.104,,,,2021.emnlp-main.104,done,University of Toulouse | LINAGORA Labs | Artificial and Natural Intelligence Toulouse Institute (ANITI),"# Weakly supervised discourse segmentation for multiparty oral conversations

Lila Gravellier, $^{1}$ Julie Hunter, $^{2}$ Philippe Muller, $^{1,3}$ Thomas Pellegrini, $^{1,3}$ Isabelle Ferrané $^{1}$

$^{1}$ IRIT, University of Toulouse, $^{2}$ LINAGORA Labs,

<sup>3</sup>Artificial and Natural Intelligence Toulouse Institute (ANITI)

firstname.lastname@irit.fr, jhunter@linagora.com",false,,,,"[{""raw_affiliation_text"": ""IRIT, University of Toulouse"", ""institution"": ""University of Toulouse"", ""country"": null}, {""raw_affiliation_text"": ""LINAGORA Labs"", ""institution"": ""LINAGORA Labs"", ""country"": null}, {""raw_affiliation_text"": ""Artificial and Natural Intelligence Toulouse Institute (ANITI)"", ""institution"": ""Artificial and Natural Intelligence Toulouse Institute (ANITI)"", ""country"": null}]"
2021.emnlp-main.117,,,,2021.emnlp-main.117,done,Medical University of Vienna,"# Evaluating the Robustness of Neural Language Models to Input Perturbations

Milad Moradi, Matthias Samwald

Institute for Artificial Intelligence

Medical University of Vienna, Austria

{milad.moradivastegani, matthias.samwald}@meduniwien.ac.at",false,,,,"[{""raw_affiliation_text"": ""Institute for Artificial Intelligence, Medical University of Vienna, Austria"", ""institution"": ""Medical University of Vienna"", ""country"": ""Austria""}]"
2021.emnlp-main.119,,,,2021.emnlp-main.119,done,University of Chicago,"# Sorting through the noise: Testing robustness of information processing in pre-trained language models

Lalchand Panda

lcpandia@gmail.com

Allyson Ettinger

Department of Linguistics

University of Chicago

aettinger@uchicago.edu",false,,,,"[{""raw_affiliation_text"": ""Department of Linguistics, University of Chicago"", ""institution"": ""University of Chicago"", ""country"": null}]"
2021.emnlp-main.12,,,,2021.emnlp-main.12,done,Google,"# A Thorough Evaluation of Task-Specific Pretraining for Summarization

Sascha Rothe*

Google

rothe@google.com

Joshua Maynez*

Google

joshuahm@google.com

Shashi Narayan*

Google

shashinarayan@google.com",false,,,,"[{""raw_affiliation_text"": ""Google"", ""institution"": ""Google"", ""country"": null}]"
2021.emnlp-main.109,,,,2021.emnlp-main.109,done,University of Cambridge,"# Fast, Effective, and Self-Supervised: Transforming Masked Language Models into Universal Lexical and Sentence Encoders

Fangyu Liu, Ivan Vulić, Anna Korhonen, Nigel Collier  
Language Technology Lab, TAL, University of Cambridge  
{f1399, iv250, alk23, nhc30}cam.ac.uk",false,,,,"[{""raw_affiliation_text"": ""Language Technology Lab, TAL, University of Cambridge"", ""institution"": ""University of Cambridge"", ""country"": null}]"
2021.emnlp-main.121,,,,2021.emnlp-main.121,done,"Fudan University | University of California, Los Angeles","# On the Transferability of Adversarial Attacks against Neural Text Classifier

Liping Yuan $^{1,2}$ , Xiaqing Zheng $^{*1,2}$ , Yi Zhou $^{1,2}$ , Cho-Jui Hsieh $^{3}$ , Kai-Wei Chang $^{3}$

$^{1}$ School of Computer Science, Fudan University, Shanghai, China

$^{2}$ Shanghai Key Laboratory of Intelligent Information Processing

$^{3}$ Department of Computer Science, University of California, Los Angeles, USA

{lpyuan19,zhengxq,yizhou17}@fudan.edu.cn

{chohsieh,kwchang}@cs.ucla.edu",false,,,,"[{""raw_affiliation_text"": ""School of Computer Science, Fudan University, Shanghai, China"", ""institution"": ""Fudan University"", ""country"": ""China""}, {""raw_affiliation_text"": ""Department of Computer Science, University of California, Los Angeles, USA"", ""institution"": ""University of California, Los Angeles"", ""country"": ""USA""}]"
2021.emnlp-main.122,,,,2021.emnlp-main.122,done,Stanford University,"# Conditional probing: measuring usable information beyond a baseline

John Hewitt Kawin Ethayarajh Percy Liang Christopher D. Manning

Department of Computer Science

Stanford University

{johnhew,kawin,pliang,manning}@cs.stanford.edu",false,,,,"[{""raw_affiliation_text"": ""Department of Computer Science, Stanford University"", ""institution"": ""Stanford University"", ""country"": null}]"
2021.emnlp-main.118,,,,2021.emnlp-main.118,done,Pompeu Fabra University | Amazon AI | Catalan Institute for Research and Advanced Studies (ICREA),"# How much pretraining data do language models need to learn syntax?

Laura Pérez-Mayos\*, Miguel Ballesteros, Leo Wanner

$^{1}$ TALN Research Group, Pompeu Fabra University, Barcelona, Spain

2 Amazon AI

$^{3}$ Catalan Institute for Research and Advanced Studies (ICREA), Barcelona, Spain

{laura.perezm|leo.wanner}@upf.edu

ballemig@amazon.com",false,,,,"[{""raw_affiliation_text"": ""TALN Research Group, Pompeu Fabra University, Barcelona, Spain"", ""institution"": ""Pompeu Fabra University"", ""country"": ""Spain""}, {""raw_affiliation_text"": ""Amazon AI"", ""institution"": ""Amazon AI"", ""country"": null}, {""raw_affiliation_text"": ""Catalan Institute for Research and Advanced Studies (ICREA), Barcelona, Spain"", ""institution"": ""Catalan Institute for Research and Advanced Studies (ICREA)"", ""country"": ""Spain""}]"
2021.emnlp-main.11,,,,2021.emnlp-main.11,done,University of Illinois at Urbana-Champaign | Tencent America,"# Multiplex Graph Neural Network for Extractive Text Summarization

Baoyu Jing†, Zeyu You‡, Tao Yang‡, Wei Fan‡ and Hanghang Tong†

†University of Illinois at Urbana-Champaign

Tencent America

{baoyuj2,hteong} $@$ illinois.edu

{zeyuyou, tytaoyang, davidwfan} @tencent.com",false,,,,"[{""raw_affiliation_text"": ""University of Illinois at Urbana-Champaign"", ""institution"": ""University of Illinois at Urbana-Champaign"", ""country"": null}, {""raw_affiliation_text"": ""Tencent America"", ""institution"": ""Tencent America"", ""country"": null}]"
2021.emnlp-main.123,,,,2021.emnlp-main.123,done,Texas A&M University | Amazon AI Translate,"# GFST: Gender-Filtered Self-Training for More Accurate Gender in Translation

Prafulla Kumar Choubey*†

Texas A&M University

prafulla.choubey@tamu.edu

Anna Currey* Prashant Mathur, Georgiana Dinu

Amazon AI Translate

{ancurrey,pramathu,gddinu}@amazon.com",false,,,,"[{""raw_affiliation_text"": ""Texas A&M University"", ""institution"": ""Texas A&M University"", ""country"": null}, {""raw_affiliation_text"": ""Amazon AI Translate"", ""institution"": ""Amazon AI Translate"", ""country"": null}]"
2021.emnlp-main.125,,,,2021.emnlp-main.125,done,Beijing Institute of Technology | Microsoft Research,"# mT6: Multilingual Pretrained Text-to-Text Transformer with Translation Pairs

Zewen Chi\*\*, Li Dong\*, Shuming Ma\*, Shaohan Huang\*  
Xian-Ling Mao\*, Heyan Huang\*, Furu Wei\* $\dagger$ Beijing Institute of Technology $\ddagger$ Microsoft Research  
{czw,maoxl,hhy63}@bit.edu.cn  
{lidong1,shumma,shaohanh,fuwei}@microsoft.com",false,,,,"[{""raw_affiliation_text"": ""Beijing Institute of Technology"", ""institution"": ""Beijing Institute of Technology"", ""country"": null}, {""raw_affiliation_text"": ""Microsoft Research"", ""institution"": ""Microsoft Research"", ""country"": null}]"
2021.emnlp-main.120,,,,2021.emnlp-main.120,done,Bar Ilan University | Allen Institute for Artificial Intelligence | University of Washington,"# Contrastive Explanations for Model Interpretability

Alon Jacovi\* Swabha Swayamdipta Shauli Ravfogel\* Yanai Elazar\* Yejin Choi\* Yoav Goldberg

$\hat{\mathcal{O}}$ Bar Ilan University

*Allen Institute for Artificial Intelligence

$\diamond$ Paul G. Allen School of Computer Science and Engineering, University of Washington

alonjacovi@gmail.com

{swabhas,shaulir,yanaie,yoavg,yejinc}@allenai.org",false,,,,"[{""raw_affiliation_text"": ""Bar Ilan University"", ""institution"": ""Bar Ilan University"", ""country"": null}, {""raw_affiliation_text"": ""Allen Institute for Artificial Intelligence"", ""institution"": ""Allen Institute for Artificial Intelligence"", ""country"": null}, {""raw_affiliation_text"": ""Paul G. Allen School of Computer Science and Engineering, University of Washington"", ""institution"": ""University of Washington"", ""country"": null}]"
2021.emnlp-main.124,,,,2021.emnlp-main.124,done,Microsoft | University of Pennsylvania | Boston University,"# ""Wikily"" Supervised Neural Translation Tailored to Cross-Linguual Tasks

Mohammad Sadegh Rasooli $^{1*}$ Chris Callison-Burch $^{2}$ Derry Tanti Wijaya $^{3}$

<sup>1</sup>Microsoft

$^{2}$ Department of Computer and Information Science, University of Pennsylvania

$^{3}$ Department of Computer Science, Boston University

mrasooli@microsoft.com, ccb@seas.upenn.edu, wijaya@bu.edu",false,,,,"[{""raw_affiliation_text"": ""Microsoft"", ""institution"": ""Microsoft"", ""country"": null}, {""raw_affiliation_text"": ""Department of Computer and Information Science, University of Pennsylvania"", ""institution"": ""University of Pennsylvania"", ""country"": null}, {""raw_affiliation_text"": ""Department of Computer Science, Boston University"", ""institution"": ""Boston University"", ""country"": null}]"
2021.emnlp-main.126,,,,2021.emnlp-main.126,done,"University of California, Los Angeles","# Improving Zero-Shot Cross-Linguual Transfer Learning via Robust Training

Kuan-Hao Huang, Wasi Uddin Ahmad, Nanyun Peng, Kai-Wei Chang  
University of California, Los Angeles

{khhuang, wasiahmad, violetpeng, kwchang}@cs.ucla.edu",false,,,,"[{""raw_affiliation_text"": ""University of California, Los Angeles"", ""institution"": ""University of California, Los Angeles"", ""country"": null}]"
2021.emnlp-main.128,,,,2021.emnlp-main.128,done,Fondazione Bruno Kessler | University of Trento,"# Is “moby dick” a Whale or a Bird? Named Entities and Terminology in Speech Translation

Marco Gaido $^{1,2}$ , Susana Rodríguez $^{3}$ , Matteo Negri $^{1}$ , Luisa Bentivogli $^{1}$ and Marco Turchi $^{1}$

Fondazione Bruno Kessler

$^{2}$ University of Trento

$^{3}$ Independent Researcher

{mgaido,negri,bentivo,turchi}@fbk.eu",false,,,,"[{""raw_affiliation_text"": ""Fondazione Bruno Kessler"", ""institution"": ""Fondazione Bruno Kessler"", ""country"": null}, {""raw_affiliation_text"": ""University of Trento"", ""institution"": ""University of Trento"", ""country"": null}]"
2021.emnlp-main.129,,,,2021.emnlp-main.129,done,Google Research,"# HintedBT: Augmenting Back-Translation with Quality and Transliteration Hints

Sahana Ramnath, Melvin Johnson,\* Abhirut Gupta,\* Aravindan Raghuveer Google Research

{sahanaramnath, melvinp, abhirut, araghuveer}@google.com",false,,,,"[{""raw_affiliation_text"": ""Google Research"", ""institution"": ""Google Research"", ""country"": null}]"
2021.emnlp-main.127,,,,2021.emnlp-main.127,done,Fondazione Bruno Kessler | University of Trento,"# Speechformer: Reducing Information Loss in Direct Speech Translation

Sara Papi $^{1,2}$ , Marco Gaido $^{1,2}$ , Matteo Negri $^{1}$ , Marco Turchi $^{1}$ $^{1}$ Fondazione Bruno Kessler $^{2}$ University of Trento  
{spapi,mgaido,negri,turchi} $@$ fbk.eu",false,,,,"[{""raw_affiliation_text"": ""Fondazione Bruno Kessler"", ""institution"": ""Fondazione Bruno Kessler"", ""country"": null}, {""raw_affiliation_text"": ""University of Trento"", ""institution"": ""University of Trento"", ""country"": null}]"
2021.emnlp-main.130,,,,2021.emnlp-main.130,done,Simon Fraser University,"# Translation-based Supervision for Policy Generation in Simultaneous Neural Machine Translation

Ashkan Alinejad, Hassan S. Shavarani and Anoop Sarkar

School of Computing Science

Simon Fraser University

BC, Canada

{aalineja,sshavara,anoop}@sfu.ca",false,,,,"[{""raw_affiliation_text"": ""School of Computing Science Simon Fraser University BC, Canada"", ""institution"": ""Simon Fraser University"", ""country"": ""Canada""}]"
2021.emnlp-main.132,,,,2021.emnlp-main.132,done,University of Southern California,"# Cross-Attention is All You Need: Adapting Pretrained Transformers for Machine Translation

Mozhdeh Gheini, Xiang Ren, Jonathan May

Information Sciences Institute

University of Southern California

{gheini, xiangren, jonmay}@isi.edu",false,,,,"[{""raw_affiliation_text"": ""Information Sciences Institute, University of Southern California"", ""institution"": ""University of Southern California"", ""country"": null}]"
2021.emnlp-main.131,,,,2021.emnlp-main.131,done,Amazon AI | Nanyang Technological University,"# Nearest Neighbour Few-Shot Learning for Cross-lingual Classification

M Saiful Bari *§¶, Batool Haider §, Saab Mansour§

Amazon AI

Nanyang Technological University, Singapore

$\mathbb{I}$ bari0001@e.ntu.edu.sg

${bhaider, saabm}@amazon.com",false,,,,"[{""raw_affiliation_text"": ""Amazon AI"", ""institution"": ""Amazon AI"", ""country"": null}, {""raw_affiliation_text"": ""Nanyang Technological University, Singapore"", ""institution"": ""Nanyang Technological University"", ""country"": ""Singapore""}]"
2021.emnlp-main.13,,,,2021.emnlp-main.13,done,University of Illinois at Chicago | Huazhong University of Science and Technology | Lehigh University,"# HETFORMER: Heterogeneous Transformer with Sparse Attention for Long-Text Extractive Summarization

Ye Liu $^{1}$ , Jian-Guo Zhang $^{1}$ , Yao Wan $^{2}$ , Congying Xia $^{1}$ , Lifang He $^{3}$ , Philip S. Yu $^{1}$

<sup>1</sup> University of Illinois at Chicago, Chicago, IL, USA

$^{2}$ Huazhong University of Science and Technology, Huhan, China

3 Lehigh University, Bethlehem, PA, USA

{yliu279, jzhan51, cxia8, psyu@}@uic.edu,

wanyao@hust.edu.cn, lih319@lehigh.edu",false,,,,"[{""raw_affiliation_text"": ""University of Illinois at Chicago, Chicago, IL, USA"", ""institution"": ""University of Illinois at Chicago"", ""country"": ""USA""}, {""raw_affiliation_text"": ""Huazhong University of Science and Technology, Huhan, China"", ""institution"": ""Huazhong University of Science and Technology"", ""country"": ""China""}, {""raw_affiliation_text"": ""Lehigh University, Bethlehem, PA, USA"", ""institution"": ""Lehigh University"", ""country"": ""USA""}]"
2021.emnlp-main.138,,,,2021.emnlp-main.138,done,KAIST,"# Efficient Contrastive Learning via Novel Data Augmentation and Curriculum Learning

Seonghyeon Ye, Jiseon Kim, Alice Oh

School of Computing, KAIST

{vanol205, jiseon_kim}@kaist.ac.kr

alice.oh@kaist.edu",false,,,,"[{""raw_affiliation_text"": ""School of Computing, KAIST"", ""institution"": ""KAIST"", ""country"": null}]"
2021.emnlp-main.134,,,,2021.emnlp-main.134,done,University of Pennsylvania | Amazon,"# Foreseeing the Benefits of Incidental Supervision

Hangfeng He† Mingyuan Zhang† Qiang Ning‡* Dan Roth† † University of Pennsylvania ‡ Amazon {hangfeng,myz,danroth}@seas.upenn.edu qning@amazon.com",false,,,,"[{""raw_affiliation_text"": ""University of Pennsylvania"", ""institution"": ""University of Pennsylvania"", ""country"": null}, {""raw_affiliation_text"": ""Amazon"", ""institution"": ""Amazon"", ""country"": null}]"
2021.emnlp-main.137,,,,2021.emnlp-main.137,done,University of Washington | Allen Institute for Artificial Intelligence,"# Sentence Bottleneck Autoencoders from Transformer Language Models

Ivan Montero\* Nikolaos Pappas\* Noah A. Smith\*

$\clubsuit$ Paul G. Allen School of Computer Science & Engineering, University of Washington

$\diamond$ Allen Institute for Artificial Intelligence

{ivamon, npappas, nsmith}@cs.washington.edu",false,,,,"[{""raw_affiliation_text"": ""Paul G. Allen School of Computer Science & Engineering, University of Washington"", ""institution"": ""University of Washington"", ""country"": null}, {""raw_affiliation_text"": ""Allen Institute for Artificial Intelligence"", ""institution"": ""Allen Institute for Artificial Intelligence"", ""country"": null}]"
