paper_id,source_pdf,uploaded_pdf,batch_id,data_id,status,affiliations,raw_first_page_text,ocr_fallback_used,ocr_image_paths,ocr_transcribed_text,error,affiliation_details_json
2024.acl-long.1,,,,2024.acl-long.1,done,Carnegie Mellon University | Tsinghua University | Peng Cheng Laboratory | Tsinghua Shenzhen International Graduate School,"# Quantized Side Tuning: Fast and Memory-Efficient Tuning of Quantized Large Language Models

Zhengxin Zhang‡, Dan Zhao†, Xupeng Miao‡, Gabriele Oliaro‡ Zhihao Zhang‡, Qing Li‡, Yong Jiang‡, Zhihao Jia‡

$^{\ddagger}$ Carnegie Mellon University, $^{\S}$ Tsinghua University,

$^{b}$ Peng Cheng Laboratory, $^{b}$ Tsinghua Shenzhen International Graduate School

zhang-zx21@mails.tsinghua.edu.cn, zhihao@cmu.edu",false,,,,"[{""raw_affiliation_text"": ""Carnegie Mellon University"", ""institution"": ""Carnegie Mellon University"", ""country"": null}, {""raw_affiliation_text"": ""Tsinghua University"", ""institution"": ""Tsinghua University"", ""country"": null}, {""raw_affiliation_text"": ""Peng Cheng Laboratory"", ""institution"": ""Peng Cheng Laboratory"", ""country"": null}, {""raw_affiliation_text"": ""Tsinghua Shenzhen International Graduate School"", ""institution"": ""Tsinghua Shenzhen International Graduate School"", ""country"": null}]"
2024.acl-long.104,,,,2024.acl-long.104,done,ETH Zürich | University of Zürich | Swiss Finance Institute,"# AFaCTA: Assisting the Annotation of Factual Claim Detection with Reliable LLM Annotators

Jingwei Ni $^{1}$ , Minjing Shi $^{1}$ , Dominik Stammbach $^{1}$ , Mrinmaya Sachan $^{1}$ , Elliott Ash $^{1}$ , Markus Leippold $^{2,3}$

$^{1}$ ETH Zürich $^{2}$ University of Zürich $^{3}$ Swiss Finance Institute (SFI)

{jingni, msachan, ashe}@ethz.ch, shimin@student.ethz.ch,

markus.leippold@bf.uzh.ch",false,,,,"[{""raw_affiliation_text"": ""ETH Zürich"", ""institution"": ""ETH Zürich"", ""country"": null}, {""raw_affiliation_text"": ""University of Zürich"", ""institution"": ""University of Zürich"", ""country"": null}, {""raw_affiliation_text"": ""Swiss Finance Institute (SFI)"", ""institution"": ""Swiss Finance Institute"", ""country"": null}]"
2024.acl-long.10,,,,2024.acl-long.10,done,Tencent Inc.,"# CSCD-NS: a Chinese Spelling Check Dataset for Native Speakers

Yong Hu, Fandong Meng, Jie Zhou

WeChat AI, Tencent Inc., China

{rightyonghu,fandongmeng,withtomzhou}@tencent.com",false,,,,"[{""raw_affiliation_text"": ""WeChat AI, Tencent Inc., China"", ""institution"": ""Tencent Inc."", ""country"": ""China""}]"
2024.acl-long.101,,,,2024.acl-long.101,done,The Hong Kong Polytechnic University,"# AoE: Angle-optimized Embeddings for Semantic Textual Similarity *

Xianming Li $^{1}$ , Jing Li $^{1,2\dagger}$

$^{1}$ Department of Computing

$^{2}$ Research Centre on Data Science & Artificial Intelligence

The Hong Kong Polytechnic University

xianming.li@connect.polyu.hk, jing-amelia.li@polyu.edu.hk",false,,,,"[{""raw_affiliation_text"": ""Department of Computing, The Hong Kong Polytechnic University"", ""institution"": ""The Hong Kong Polytechnic University"", ""country"": ""null""}]"
2024.acl-long.103,,,,2024.acl-long.103,done,Xi'an Jiaotong University | Queen Mary University of London,"# Does DETECTGPT Fully Utilize Perturbation? Bridging Selective Perturbation to Fine-tuned Contrastive Learning Detector would be Better

Shengchao Liu $^{1}$ , Xiaoming Liu $^{1,*}$ , Yichen Wang $^{1}$ , Zehua Cheng $^{1}$ , Chengzhengxu Li $^{1}$ , Zhaohan Zhang $^{2}$ , Yu Lan $^{1}$ , Chao Shen $^{1}$

$^{1}$ Faculty of Electronic and Information Engineering, Xi'an Jiaotong University

$^{2}$ Queen Mary University of London

{liusc, yichen.wang, czh2022, czx.li}@stu.xjtu.edu.cn

{xm.liu, ylan2020, chaoshen}@xjtu.edu.cn, zhaohan.zhang@qmul.ac.uk",false,,,,"[{""raw_affiliation_text"": ""Faculty of Electronic and Information Engineering, Xi'an Jiaotong University"", ""institution"": ""Xi'an Jiaotong University"", ""country"": null}, {""raw_affiliation_text"": ""Queen Mary University of London"", ""institution"": ""Queen Mary University of London"", ""country"": null}]"
2024.acl-long.100,,,,2024.acl-long.100,done,Beihang University | University of British Columbia,"# UNICODER : Scaling Code Large Language Model via Universal Code

Tao Sun $^{1}$ , Linzheng Chai $^{1}$ , Jian Yang $^{1*}$ , Yuwei Yin $^{2}$ , Hongcheng Guo $^{1}$ , Jiaheng Liu $^{1}$ , Bing Wang $^{1}$ , Liquun Yang $^{1}$ , Zhoujun Li $^{1}$

$^{1}$ State Key Laboratory of Complex & Critical Software Environment, Beihang University;

$^{2}$ Department of Computer Science, University of British Columbia {buaast, challenging, jiaya, hongchengguo} @ buaa.edu.cn;

{liujiaheng,bingwang,lqyang,lizj} $@$ buaa.edu.cn;yuweiyin@cs.ubc.ca",false,,,,"[{""raw_affiliation_text"": ""State Key Laboratory of Complex & Critical Software Environment, Beihang University"", ""institution"": ""Beihang University"", ""country"": null}, {""raw_affiliation_text"": ""Department of Computer Science, University of British Columbia"", ""institution"": ""University of British Columbia"", ""country"": null}]"
2024.acl-long.105,,,,2024.acl-long.105,done,University of Zürich | ETH Zürich | University of Regensburg | Swiss Finance Institute (SFI),"# Towards Faithful and Robust LLM Specialists for Evidence-Based Question-Answering

Tobias Schimanski $^{1*}$ , Jingwei Ni $^{1,2*}$ , Mathias Kraus $^{3}$ , Elliott Ash $^{2}$ , Markus Leippold $^{1,4}$

$^{1}$ University of Zürich $^{2}$ ETH Zürich $^{3}$ University of Regensburg

4 Swiss Finance Institute (SFI)

{tobias.schimanski, markus.leippold}@bf.uzh.ch, {jingni, ashe}@ethz.ch

mathias.kraus@informatik.uni-regensburg.de",false,,,,"[{""raw_affiliation_text"": ""University of Zürich"", ""institution"": ""University of Zürich"", ""country"": null}, {""raw_affiliation_text"": ""ETH Zürich"", ""institution"": ""ETH Zürich"", ""country"": null}, {""raw_affiliation_text"": ""University of Regensburg"", ""institution"": ""University of Regensburg"", ""country"": null}, {""raw_affiliation_text"": ""Swiss Finance Institute (SFI)"", ""institution"": ""Swiss Finance Institute (SFI)"", ""country"": null}]"
2024.acl-long.106,,,,2024.acl-long.106,done,Fudan University | Shanghai Collaborative Innovation Center of Intelligent Visual Computing | International Human Phenome Institutes | Hikvision Inc,"# LoRAMoE: Alleviating World Knowledge Forgetting in Large Language Models via MoE-Style Plugin

Shihan Dou $^{1*}$ , Enyu Zhou $^{1*}$ , Yan Liu $^{1}$ , Songyang Gao $^{1}$ , Wei Shen $^{1}$ , Limao Xiong $^{1}$ , Yuhao Zhou $^{1}$ , Xiao Wang $^{1}$ , Zhiheng Xi $^{1}$ , Xiaoran Fan $^{1}$ , Shiliang Pu $^{5}$ , Jiang Zhu $^{5}$ , Rui Zheng $^{1}$ , Tao Gui $^{2\dagger}$ , Qi Zhang $^{1,3\dagger}$ , Xuanjing Huang $^{1,4\dagger}$

<sup>1</sup> School of Computer Science, Fudan University

$^{2}$ Institute of Modern Languages and Linguistics, Fudan University

3 Shanghai Collaborative Innovation Center of Intelligent Visual Computing

$^{4}$ International Human Phenome Institutes, Shanghai, China

5 Hikvision Inc

{shdou21, eyzhou23}@m.fudan.edu.cn",false,,,,"[{""raw_affiliation_text"": ""School of Computer Science, Fudan University"", ""institution"": ""Fudan University"", ""country"": null}, {""raw_affiliation_text"": ""Shanghai Collaborative Innovation Center of Intelligent Visual Computing"", ""institution"": ""Shanghai Collaborative Innovation Center of Intelligent Visual Computing"", ""country"": null}, {""raw_affiliation_text"": ""International Human Phenome Institutes, Shanghai, China"", ""institution"": ""International Human Phenome Institutes"", ""country"": ""China""}, {""raw_affiliation_text"": ""Hikvision Inc"", ""institution"": ""Hikvision Inc"", ""country"": null}]"
2024.acl-long.109,,,,2024.acl-long.109,done,Zhejiang University | Alibaba Group,"# AIR-Bench: Benchmarking Large Audio-Language Models via Generative Comprehension

Qian Yang $^{1*†}$ , Jin Xu $^{2*}$ , Wenrui Liu $^{1}$ , Yunfei Chu $^{2}$ , Ziyue Jiang $^{1}$ , Xiaohuan Zhou $^{2}$ , Yichong Leng $^{2}$ , Yuanjun Lv $^{2}$ , Zhou Zhao $^{1‡}$ , Chang Zhou $^{2‡}$ , Jingren Zhou $^{2}$

<sup>1</sup>Zhejiang University, <sup>2</sup>Alibaba Group

{qyang1021, liuwenrui, ziyuejiang, zhaozhou}@zju.edu.cn

{renjun.xj,fay.cyf,shiyi.zxh,lengyichong.lyc,lvyuanjun.lyj}@alibaba-inc.com

{ericzhou.zc,jingren.zhou}@alibaba-inc.com",false,,,,"[{""raw_affiliation_text"": ""Zhejiang University"", ""institution"": ""Zhejiang University"", ""country"": null}, {""raw_affiliation_text"": ""Alibaba Group"", ""institution"": ""Alibaba Group"", ""country"": null}]"
2024.acl-long.108,,,,2024.acl-long.108,done,"Huawei Technologies, Co., Ltd.","# M-RAG: Reinforcing Large Language Model Performance through Retrieval-Augmented Generation with Multiple Partitions

Zheng Wang $^{1}$ , Shu Xian Teo $^{1}$ , Jieer Ouyang $^{1}$ , Yongjun Xu $^{1}$ , Wei Shi $^{1}$

<sup>1</sup>Huawei Technologies, Co., Ltd.

{wangzheng155,teo.shu.xian,ouyang.jieer,xuyongjun6,w.shi}@huawei.com",false,,,,"[{""raw_affiliation_text"": ""Huawei Technologies, Co., Ltd."", ""institution"": ""Huawei Technologies, Co., Ltd."", ""country"": null}]"
2024.acl-long.11,,,,2024.acl-long.11,done,RPTU Kaiserslautern-Landau,"# Evaluating Dynamic Topic Models

# Charu James,\* Mayank Nagda,\* Nooshin Haji Ghassemi, Marius Kloft, Sophie Fellenz RPTU Kaiserslautern-Landau, Germany

{charu,nagda, nooshin, kloft, fellenz}@cs.uni-kl.de",false,,,,"[{""raw_affiliation_text"": ""RPTU Kaiserslautern-Landau, Germany"", ""institution"": ""RPTU Kaiserslautern-Landau"", ""country"": ""Germany""}]"
2024.acl-long.107,,,,2024.acl-long.107,done,The Chinese University of Hong Kong | Tencent AI Lab | Centre for Perceptual and Interactive Intelligence,"# Self-Alignment for Factuality: Mitigating Hallucinations in LLMs via Self-Evaluation

Xiaoying Zhang $^{1*}$ , Baolin Peng $^{2}$ , Ye Tian $^{2}$ , Jingyan Zhou $^{1}$ , Lifeng Jin $^{2}$ , Linfeng Song $^{2}$ , Haitao Mi $^{2}$ , Helen Meng $^{1,3}$

<sup>1</sup>The Chinese University of Hong Kong, Hong Kong

2Tencent AI Lab, Bellevue

<sup>3</sup>Centre for Perceptual and Interactive Intelligence, Hong Kong

{zhangxy, jyzhou, hmmeng} @se.cuhk.edu.hk

{baolinpeng, yaptian, lifengjin, lfsong, haitaomi} @global.tencent.com",false,,,,"[{""raw_affiliation_text"": ""The Chinese University of Hong Kong, Hong Kong"", ""institution"": ""The Chinese University of Hong Kong"", ""country"": ""Hong Kong""}, {""raw_affiliation_text"": ""Tencent AI Lab, Bellevue"", ""institution"": ""Tencent AI Lab"", ""country"": null}, {""raw_affiliation_text"": ""Centre for Perceptual and Interactive Intelligence, Hong Kong"", ""institution"": ""Centre for Perceptual and Interactive Intelligence"", ""country"": ""Hong Kong""}]"
2024.acl-long.110,,,,2024.acl-long.110,done,Microsoft | ETH Zürich,"# Navigating the Metrics Maze: Reconciling Score Magnitudes and Accuracies

Tom Kocmi<sup>1</sup> Vilém Zouhar<sup>2</sup> Christian Federmann<sup>1</sup> Matt Post<sup>1</sup>

<sup>1</sup>Microsoft

{tomkocmi,chrife,mattpost}@microsoft.com

$^{2}$ ETH Zürich

vzouhar@ethz.ch",false,,,,"[{""raw_affiliation_text"": ""Microsoft"", ""institution"": ""Microsoft"", ""country"": null}, {""raw_affiliation_text"": ""ETH Zürich"", ""institution"": ""ETH Zürich"", ""country"": null}]"
