paper_id,source_pdf,uploaded_pdf,batch_id,data_id,status,affiliations,raw_first_page_text,ocr_fallback_used,ocr_image_paths,ocr_transcribed_text,error,affiliation_details_json
2025.acl-long.1002,,,,2025.acl-long.1002,done,U Mass Amherst | Google,"# Enhancing Human Evaluation in Machine Translation with Comparative Judgment

Yixiao Song\* Parker Riley Daniel Deutsch Markus Freitag

$\spadesuit$ Manning College of Information and Computer Sciences, UMass Amherst Google

yixiaosong@umass.edu {prkriley, dandeutsch, freitag}@google.com",false,,,,"[{""raw_affiliation_text"": ""Manning College of Information and Computer Sciences, UMass Amherst"", ""institution"": ""U Mass Amherst"", ""country"": null}, {""raw_affiliation_text"": ""Google"", ""institution"": ""Google"", ""country"": null}]"
2025.acl-long.1001,,,,2025.acl-long.1001,done,University of Edinburgh | Google Research | Google Workspace | Google Deep Mind,"# Amplifying Trans and Nonbinary Voices: A Community-Centred Harm Taxonomy for LLMs

Eddie L. Ungless<sup>1*</sup>, Sunipa Dev<sup>2</sup>, Cynthia L. Bennett<sup>2</sup>, Rebecca Gulotta<sup>3</sup>, Jasmijn Bastings<sup>4</sup>, Remi Denton<sup>2</sup>

<sup>1</sup> University of Edinburgh, <sup>2</sup> Google Research, <sup>3</sup>Google Workspace, <sup>4</sup>Google DeepMind

Correspondence: mxeddieungless@gmail.com, [sunipadev, clbennett, beka, bastings, dentone]@google.com",false,,,,"[{""raw_affiliation_text"": ""University of Edinburgh"", ""institution"": ""University of Edinburgh"", ""country"": null}, {""raw_affiliation_text"": ""Google Research"", ""institution"": ""Google Research"", ""country"": null}, {""raw_affiliation_text"": ""Google Workspace"", ""institution"": ""Google Workspace"", ""country"": null}, {""raw_affiliation_text"": ""Google DeepMind"", ""institution"": ""Google Deep Mind"", ""country"": null}]"
2025.acl-long.1,,,,2025.acl-long.1,done,HKUST | Amazon.com Inc | Texas A&M University,"# ECOMSCRIPTBENCH: A Multi-task Benchmark for E-commerce Script Planning via Step-wise Intention-Driven Product Association

Weiqi Wang\*, Limeng Cui\*, Xin Liu\*, Sreyashi Nag\*, Wenju Xu\*, Chen Luo\*, Sheikh Muhammad Sarwar\*, Yang Li\*, Hansu Gu\*, Hui Liu\*, Changlong Yu\*, Jiaxin Bai\*, Yifan Gao\*, Haiyang Zhang\*, Qi He\*, Shuiwang Ji†, Yangqiu Song†, Department of Computer Science and Engineering, HKUST, Hong Kong SAR, China Amazon.com Inc, Palo Alto, CA, USA

$^{\text{心}}$ Department of Computer Science & Engineering, Texas A&M University, Texas, USA {wwangbw, yqsong}@cse.ust.hk, {culimeng, xliucr, cheluo}@amazon.com",false,,,,"[{""raw_affiliation_text"": ""Department of Computer Science and Engineering, HKUST, Hong Kong SAR, China"", ""institution"": ""HKUST"", ""country"": ""China""}, {""raw_affiliation_text"": ""Amazon.com Inc, Palo Alto, CA, USA"", ""institution"": ""Amazon.com Inc"", ""country"": ""USA""}, {""raw_affiliation_text"": ""Department of Computer Science & Engineering, Texas A&M University, Texas, USA"", ""institution"": ""Texas A&M University"", ""country"": ""USA""}]"
2025.acl-long.1003,,,,2025.acl-long.1003,done,Indian Institute of Technology Patna | Adobe Research,"# Infogen: Generating Complex Statistical Infographics from Documents

Akash Ghosh<sup>1*</sup> Aparna Garimella<sup>2</sup> Pritika Ramu<sup>2</sup>  
Sambaran Bandyopadhyay<sup>2</sup> Sriparna Saha<sup>1</sup>

$^{1}$ Indian Institute of Technology Patna, India $^{2}$ Adobe Research

{akash_2321cs19,sriparna}@iitp.ac.in,{garimell,pramu} $\text{已}$ adobe.com,samb.bandyo@gmail.com",false,,,,"[{""raw_affiliation_text"": ""Indian Institute of Technology Patna, India"", ""institution"": ""Indian Institute of Technology Patna"", ""country"": ""India""}, {""raw_affiliation_text"": ""Adobe Research"", ""institution"": ""Adobe Research"", ""country"": null}]"
2025.acl-long.1005,,,,2025.acl-long.1005,done,University of Maryland,"# Improved Unbiased Watermark for Large Language Models

Ruibo Chen*, Yihan Wu*, Junfeng Guo, Heng Huang

University of Maryland, College Park

{rbchen,ywu42,gjf2023,heng}@umd.edu",false,,,,"[{""raw_affiliation_text"": ""University of Maryland, College Park"", ""institution"": ""University of Maryland"", ""country"": null}]"
2025.acl-long.1006,,,,2025.acl-long.1006,done,University of Amsterdam,"# MaCP: Minimal yet Mighty Adaptation via Hierarchical Cosine Projection

Yixian Shen, Qi Bi, Jia-Hong Huang, Hongyi Zhu, Andy D. Pimentel, Anuj Pathania  
University of Amsterdam, Amsterdam, the Netherlands

{y.shen, q.bi, j.huang, h.zhu, a.d.pimentel, a.pathania}@uva.nl",false,,,,"[{""raw_affiliation_text"": ""University of Amsterdam, Amsterdam, the Netherlands"", ""institution"": ""University of Amsterdam"", ""country"": ""the Netherlands""}]"
2025.acl-long.1007,,,,2025.acl-long.1007,done,UNC Chapel Hill,"# Multi-Attribute Steering of Language Models via Targeted Intervention

Duy Nguyen

Archiki Prasad

Elias Stengel-Eskin

Mohit Bansal

UNC Chapel Hill

{duykng, archiki, esteng, mbansal}@cs.unc.edu",false,,,,"[{""raw_affiliation_text"": ""UNC Chapel Hill"", ""institution"": ""UNC Chapel Hill"", ""country"": null}]"
2025.acl-long.1004,,,,2025.acl-long.1004,done,University of Passau,"# Partial Colexifications Improve Concept Embeddings

Arne Rubehn and Johann-Mattis List

Chair for Multilingual Computational Linguistics

University of Passau

Passau, Germany

{arne.rubehn,mattis.list}@uni-passau.de",false,,,,"[{""raw_affiliation_text"": ""Chair for Multilingual Computational Linguistics, University of Passau, Passau, Germany"", ""institution"": ""University of Passau"", ""country"": ""Germany""}]"
2025.acl-long.1000,,,,2025.acl-long.1000,done,University of Trento | Maastricht University,"# Deep Temporal Reasoning in Video Language Models: A Cross-Linguistic Evaluation of Action Duration and Completion through Perfect Times

Olga Loginova

University of Trento

olga-loginova@unitn.it

Sofía Ortega Loguinova

Maastricht University

s.ortegaloguinova@student.maaastrichtuniversity.nl",false,,,,"[{""raw_affiliation_text"": ""University of Trento"", ""institution"": ""University of Trento"", ""country"": null}, {""raw_affiliation_text"": ""Maastricht University"", ""institution"": ""Maastricht University"", ""country"": null}]"
2025.acl-long.1008,,,,2025.acl-long.1008,done,Georgia Institute of Technology | J.P. Morgan AI Research,"# AdaptAgent: Adapting Multimodal Web Agents with Few-Shot Learning from Human Demonstrations

Gaurav Verma

Zhen Zeng2

Rachneet Kaur

Tucker Balch

Nishan Srishankar²

Manuela Veloso2

<sup>1</sup>Georgia Institute of Technology

$^{2}$ J.P. Morgan AI Research

gverma@gatech.edu {rachneet.kaur, nishan.srishankar}@jpmorgan.com

{zhen.zeng, tucker.balch, manuela.veloso}@jpmorgan.com",false,,,,"[{""raw_affiliation_text"": ""Georgia Institute of Technology"", ""institution"": ""Georgia Institute of Technology"", ""country"": null}, {""raw_affiliation_text"": ""J.P. Morgan AI Research"", ""institution"": ""J.P. Morgan AI Research"", ""country"": null}]"
